Date,Blockchain Size
2015-06-08,37434672639
2015-06-09,37494330378
2015-06-10,37558386439
2015-06-11,37640086794
2015-06-12,37702014624
2015-06-13,37769336056
2015-06-14,37828912512
2015-06-15,37890277558
2015-06-16,37963925238
2015-06-17,38033519634
2015-06-18,38111297221
2015-06-19,38187584084
2015-06-20,38265258541
2015-06-21,38321982026
2015-06-22,38379306557
2015-06-23,38471871059
2015-06-24,38542803742
2015-06-25,38603193325
2015-06-26,38656712920
2015-06-27,38721746662
2015-06-28,38783308769
2015-06-29,38842325674
2015-06-30,38910732334
2015-07-01,38998570283
2015-07-02,39082684194
2015-07-03,39156678542
2015-07-04,39226077920
2015-07-05,39284721954
2015-07-06,39347038546
2015-07-07,39441818290
2015-07-08,39544440036
2015-07-09,39661889494
2015-07-10,39761845814
2015-07-11,39861866359
2015-07-12,39972007475
2015-07-13,40076878284
2015-07-14,40183029293
2015-07-15,40286692346
2015-07-16,40387755973
2015-07-17,40481332566
2015-07-18,40581233864
2015-07-19,40677868570
2015-07-20,40774702839
2015-07-21,40842526205
2015-07-22,40912064238
2015-07-23,40981060259
2015-07-24,41038096604
2015-07-25,41100673593
2015-07-26,41155354328
2015-07-27,41219823513
2015-07-28,41297197411
2015-07-29,41378628201
2015-07-30,41506342574
2015-07-31,41609631139
2015-08-01,41722693019
2015-08-02,41836974370
2015-08-03,41900021607
2015-08-04,41973757604
2015-08-05,42080942528
2015-08-06,42186113794
2015-08-07,42299148676
2015-08-08,42368524816
2015-08-09,42423966340
2015-08-10,42475443983
2015-08-11,42550387751
2015-08-12,42617587386
2015-08-13,42680994737
2015-08-14,42745319760
2015-08-15,42806346480
2015-08-16,42861079213
2015-08-17,42912852358
2015-08-18,42978617473
2015-08-19,43044842377
2015-08-20,43107661738
2015-08-21,43169227328
2015-08-22,43229610243
2015-08-23,43288752671
2015-08-24,43343406277
2015-08-25,43415933654
2015-08-26,43481704624
2015-08-27,43544580806
2015-08-28,43603199648
2015-08-29,43666892757
2015-08-30,43723888597
2015-08-31,43779124514
2015-09-01,43851505885
2015-09-02,43921136420
2015-09-03,44043897355
2015-09-04,44113548362
2015-09-05,44168257472
2015-09-06,44235681849
2015-09-07,44294942361
2015-09-08,44367853498
2015-09-09,44463526348
2015-09-10,44572422571
2015-09-11,44689130729
2015-09-12,44801846759
2015-09-13,44889227998
2015-09-14,44983791236
2015-09-15,45097640736
2015-09-16,45208047116
2015-09-17,45304444636
2015-09-18,45405599132
2015-09-19,45487691687
2015-09-20,45545757315
2015-09-21,45606550810
2015-09-22,45686834673
2015-09-23,45762336201
2015-09-24,45835568296
2015-09-25,45903933076
