Date,Velocity - Quarterly
2010-09-10,1.66395
2010-09-11,1.66022
2010-09-12,1.65575
2010-09-13,1.64591
2010-09-14,1.66281
2010-09-15,1.65905
2010-09-16,1.66009
2010-09-17,1.66122
2010-09-18,1.66114
2010-09-19,1.6604
2010-09-20,1.65941
2010-09-21,1.65748
2010-09-22,1.65134
2010-09-23,1.65084
2010-09-24,1.67259
2010-09-25,1.65805
2010-09-26,1.65791
2010-09-27,1.64734
2010-09-28,1.64198
2010-09-29,1.64426
2010-09-30,1.65715
2010-10-01,1.64423
2010-10-02,1.6409
2010-10-03,1.728
2010-10-04,1.72485
2010-10-05,1.85094
2010-10-06,1.88146
2010-10-07,1.90307
2010-10-08,1.92706
2010-10-09,1.95507
2010-10-10,1.97956
2010-10-11,1.39254
2010-10-12,1.33519
2010-10-13,1.27143
2010-10-14,1.27606
2010-10-15,1.2996
2010-10-16,1.3213
2010-10-17,1.35936
2010-10-18,1.36971
2010-10-19,1.40896
2010-10-20,1.46026
2010-10-21,1.49401
2010-10-22,1.52907
2010-10-23,1.54511
2010-10-24,1.54088
2010-10-25,1.54112
2010-10-26,1.56433
2010-10-27,1.58626
2010-10-28,1.62396
2010-10-29,1.65806
2010-10-30,1.67002
2010-10-31,1.61711
2010-11-01,1.61462
2010-11-02,1.61141
2010-11-03,1.61463
2010-11-04,1.61479
2010-11-05,1.64215
2010-11-06,1.64229
2010-11-07,1.66389
2010-11-08,1.66192
2010-11-09,1.75978
2010-11-10,1.75482
2010-11-11,1.75923
2010-11-12,1.75761
2010-11-13,1.75815
2010-11-14,1.75752
2010-11-15,1.74616
2010-11-16,1.78921
2010-11-17,1.85855
2010-11-18,1.86246
2010-11-19,1.86463
2010-11-20,1.86472
2010-11-21,1.89181
2010-11-22,1.9122
2010-11-23,1.91212
2010-11-24,1.91392
2010-11-25,1.91534
2010-11-26,1.91661
2010-11-27,1.92792
2010-11-28,1.92727
2010-11-29,1.92608
2010-11-30,1.92069
2010-12-01,1.92426
2010-12-02,1.92498
2010-12-03,1.92721
2010-12-04,1.92223
2010-12-05,1.90344
2010-12-06,1.88693
2010-12-07,1.89783
2010-12-08,1.90746
2010-12-09,1.90181
2010-12-10,1.90487
2010-12-11,1.90786
2010-12-12,1.91303
2010-12-13,1.89563
2010-12-14,1.92587
2010-12-15,1.93581
2010-12-16,1.94779
2010-12-17,1.94619
2010-12-18,1.94667
2010-12-19,1.95054
2010-12-20,1.95822
2010-12-21,1.96673
2010-12-22,1.97417
2010-12-23,1.9626
2010-12-24,1.96797
2010-12-25,1.97201
2010-12-26,1.98594
2010-12-27,1.98995
2010-12-28,1.98887
2010-12-29,1.97848
2010-12-30,1.98313
2010-12-31,1.98666
2011-01-01,1.91736
2011-01-02,1.91485
2011-01-03,1.81023
2011-01-04,1.7829
2011-01-05,1.76434
2011-01-06,1.74648
2011-01-07,1.72014
2011-01-08,1.69173
2011-01-09,1.67651
2011-01-10,1.66761
2011-01-11,1.66922
2011-01-12,1.66423
2011-01-13,1.6389
2011-01-14,1.63147
2011-01-15,1.60548
2011-01-16,1.59332
2011-01-17,1.56098
2011-01-18,1.51827
2011-01-19,1.4968
2011-01-20,1.46965
2011-01-21,1.45309
2011-01-22,1.45458
2011-01-23,1.4451
2011-01-24,1.42922
2011-01-25,1.40629
2011-01-26,1.37477
2011-01-27,1.42978
2011-01-28,1.52783
2011-01-29,1.524
2011-01-30,1.52132
2011-01-31,1.59306
2011-02-01,1.60803
2011-02-02,1.61895
2011-02-03,1.60675
2011-02-04,1.60773
2011-02-05,1.59154
2011-02-06,1.58766
2011-02-07,1.50287
2011-02-08,1.51926
2011-02-09,1.51876
2011-02-10,1.53273
2011-02-11,1.56451
2011-02-12,1.60161
2011-02-13,1.61587
2011-02-14,1.58316
2011-02-15,1.53522
2011-02-16,1.53708
2011-02-17,1.53357
2011-02-18,1.53801
2011-02-19,1.52825
2011-02-20,1.53849
2011-02-21,1.56503
2011-02-22,1.59758
2011-02-23,1.65448
2011-02-24,1.7035
2011-02-25,1.72417
2011-02-26,1.74802
2011-02-27,1.76841
2011-02-28,1.79272
2011-03-01,1.80063
2011-03-02,1.97461
2011-03-03,2.39808
2011-03-04,2.4429
2011-03-05,2.46732
2011-03-06,2.48068
2011-03-07,2.49094
2011-03-08,2.50706
2011-03-09,2.53146
2011-03-10,2.56215
2011-03-11,2.62707
2011-03-12,2.64306
2011-03-13,2.65866
2011-03-14,2.66486
2011-03-15,2.6742
2011-03-16,2.67298
2011-03-17,2.68162
2011-03-18,2.69561
2011-03-19,2.70935
2011-03-20,2.70858
2011-03-21,2.7147
2011-03-22,2.7241
2011-03-23,2.74099
2011-03-24,2.76817
2011-03-25,2.79839
2011-03-26,2.82614
2011-03-27,2.86435
2011-03-28,2.87065
2011-03-29,2.8795
2011-03-30,2.87557
2011-03-31,2.88141
2011-04-01,2.88989
2011-04-02,2.88922
2011-04-03,2.89298
2011-04-04,2.89068
2011-04-05,2.90646
2011-04-06,2.91154
2011-04-07,2.91655
2011-04-08,2.92232
2011-04-09,2.93109
2011-04-10,2.94347
2011-04-11,2.94
2011-04-12,2.93405
2011-04-13,2.94233
2011-04-14,2.94704
2011-04-15,2.95432
2011-04-16,2.96258
2011-04-17,3.00067
2011-04-18,3.20469
2011-04-19,3.20474
2011-04-20,3.63525
2011-04-21,4.42379
2011-04-22,4.48041
2011-04-23,4.48908
2011-04-24,4.4981
2011-04-25,4.4959
2011-04-26,4.49633
2011-04-27,4.4388
2011-04-28,4.37026
2011-04-29,4.38077
2011-04-30,4.49118
2011-05-01,4.47978
2011-05-02,4.47442
2011-05-03,4.46545
2011-05-04,4.47274
2011-05-05,4.50089
2011-05-06,4.5099
2011-05-07,4.53505
2011-05-08,4.55227
2011-05-09,4.60548
2011-05-10,4.61031
2011-05-11,4.67406
2011-05-12,4.65997
2011-05-13,4.64639
2011-05-14,4.69078
2011-05-15,4.95644
2011-05-16,4.98049
2011-05-17,4.99429
2011-05-18,5.00813
2011-05-19,5.0113
2011-05-20,5.01384
2011-05-21,5.03049
2011-05-22,5.09311
2011-05-23,5.18538
2011-05-24,5.18881
2011-05-25,5.17858
2011-05-26,5.19173
2011-05-27,5.21686
2011-05-28,5.26879
2011-05-29,5.26755
2011-05-30,5.28261
2011-05-31,5.15639
2011-06-01,4.81318
2011-06-02,4.80181
2011-06-03,4.81437
2011-06-04,4.88158
2011-06-05,4.91915
2011-06-06,4.9648
2011-06-07,5.05551
2011-06-08,5.09242
2011-06-09,5.14136
2011-06-10,5.22821
2011-06-11,5.33686
2011-06-12,5.51706
2011-06-13,5.76269
2011-06-14,5.92547
2011-06-15,6.12738
2011-06-16,6.77629
2011-06-17,8.02966
2011-06-18,8.24223
2011-06-19,8.39862
2011-06-20,9.04941
2011-06-21,9.20285
2011-06-22,9.65603
2011-06-23,9.79455
2011-06-24,9.97617
2011-06-25,10.6317
2011-06-26,12.2252
2011-06-27,12.7846
2011-06-28,13.0551
2011-06-29,14.0955
2011-06-30,14.3963
2011-07-01,14.59
2011-07-02,14.722
2011-07-03,14.8209
2011-07-04,14.8567
2011-07-05,15.0245
2011-07-06,15.0566
2011-07-07,15.1064
2011-07-08,15.1404
2011-07-09,15.147
2011-07-10,15.4236
2011-07-11,15.7533
2011-07-12,15.8629
2011-07-13,15.9765
2011-07-14,16.1422
2011-07-15,16.3891
2011-07-16,16.4122
2011-07-17,16.3842
2011-07-18,16.4279
2011-07-19,16.5022
2011-07-20,16.1862
2011-07-21,16.1844
2011-07-22,16.3371
2011-07-23,16.5203
2011-07-24,16.5818
2011-07-25,16.6211
2011-07-26,16.7821
2011-07-27,16.896
2011-07-28,17.0365
2011-07-29,17.4045
2011-07-30,17.4193
2011-07-31,17.42
2011-08-01,17.468
2011-08-02,17.4981
2011-08-03,17.4947
2011-08-04,17.514
2011-08-05,17.4992
2011-08-06,17.5246
2011-08-07,17.4874
2011-08-08,17.4987
2011-08-09,17.5778
2011-08-10,17.8612
2011-08-11,17.9719
2011-08-12,17.9594
2011-08-13,17.7347
2011-08-14,17.7287
2011-08-15,17.7299
