Date,Money Supply
2011-07-07,6754950
2011-07-08,6761500
2011-07-09,6769750
2011-07-10,6777200
2011-07-11,6784050
2011-07-12,6791900
2011-07-13,6798950
2011-07-14,6808500
2011-07-15,6815700
2011-07-16,6823800
2011-07-17,6831650
2011-07-18,6840150
2011-07-19,6848650
2011-07-20,6855750
2011-07-21,6863200
2011-07-22,6870800
2011-07-23,6878350
2011-07-24,6885650
2011-07-25,6893950
2011-07-26,6902200
2011-07-27,6911000
2011-07-28,6919700
2011-07-29,6927450
2011-07-30,6935650
2011-07-31,6943250
2011-08-01,6952000
2011-08-02,6960250
2011-08-03,6967950
2011-08-04,6975800
2011-08-05,6982250
2011-08-06,6989250
2011-08-07,6995350
2011-08-08,7001650
2011-08-09,7008450
2011-08-10,7015750
2011-08-11,7023350
2011-08-12,7030200
2011-08-13,7036750
2011-08-14,7043250
2011-08-15,7049850
2011-08-16,7056300
2011-08-17,7063650
2011-08-18,7070450
2011-08-19,7077650
2011-08-20,7084200
2011-08-21,7091800
2011-08-22,7099800
2011-08-23,7108250
2011-08-24,7116000
2011-08-25,7122700
2011-08-26,7129450
2011-08-27,7136800
2011-08-28,7142900
2011-08-29,7148700
2011-08-30,7155600
2011-08-31,7162900
2011-09-01,7170650
2011-09-02,7177100
2011-09-03,7184900
2011-09-04,7192150
2011-09-05,7198850
2011-09-06,7206650
2011-09-07,7214200
2011-09-08,7221000
2011-09-09,7227450
2011-09-10,7235150
2011-09-11,7241800
2011-09-12,7248050
2011-09-13,7254700
2011-09-14,7261800
2011-09-15,7269100
2011-09-16,7276900
2011-09-17,7282850
2011-09-18,7289550
2011-09-19,7297450
2011-09-20,7303800
2011-09-21,7310800
2011-09-22,7318100
2011-09-23,7325500
2011-09-24,7332150
2011-09-25,7338600
2011-09-26,7345450
2011-09-27,7352150
2011-09-28,7358800
2011-09-29,7366150
2011-09-30,7372400
2011-10-01,7378500
2011-10-02,7385650
2011-10-03,7391700
2011-10-04,7398950
2011-10-05,7404550
2011-10-06,7411800
2011-10-07,7418200
2011-10-08,7425100
2011-10-09,7431050
2011-10-10,7437400
2011-10-11,7443550
2011-10-12,7448200
2011-10-13,7454200
2011-10-14,7459050
2011-10-15,7466000
2011-10-16,7472700
2011-10-17,7478650
2011-10-18,7484550
2011-10-19,7490550
2011-10-20,7497200
