Date,Two-Week Hash Growth
2012-02-04,9.2573
2012-02-05,9.95397
2012-02-06,7.92925
2012-02-07,5.88496
2012-02-08,6.51606
2012-02-09,5.03657
2012-02-10,5.0088
2012-02-11,3.66245
2012-02-12,4.04723
2012-02-13,2.58018
2012-02-14,1.48051
2012-02-15,0.527835
2012-02-16,0.0944385
2012-02-17,-2.54787
2012-02-18,-2.71242
2012-02-19,-2.56476
2012-02-20,-1.07262
2012-02-21,0.837854
2012-02-22,0.435478
2012-02-23,1.72164
2012-02-24,4.99122
2012-02-25,5.88128
2012-02-26,6.02347
2012-02-27,3.57555
2012-02-28,5.88128
2012-02-29,8.83538
2012-03-01,12.0277
2012-03-02,11.3105
2012-03-03,9.441
2012-03-04,3.16233
2012-03-05,3.10489
2012-03-06,3.19828
2012-03-07,3.06596
2012-03-08,-0.458672
2012-03-09,-1.28251
2012-03-10,2.47751
2012-03-11,8.36007
2012-03-12,8.87101
2012-03-13,9.57991
2012-03-14,8.76821
2012-03-15,5.18457
2012-03-16,3.17273
2012-03-17,2.01271
2012-03-18,6.5805
2012-03-19,9.35774
2012-03-20,6.64121
2012-03-21,7.76699
2012-03-22,11.1597
2012-03-23,13.009
2012-03-24,6.52914
2012-03-25,2.63245
2012-03-26,2.63966
2012-03-27,1.38528
2012-03-28,-1.0918
2012-03-29,-0.280804
2012-03-30,2.57052
2012-03-31,8.02028
2012-04-01,7.53922
2012-04-02,4.63895
2012-04-03,4.52823
2012-04-04,3.4014
2012-04-05,1.23114
2012-04-06,-4.54177
2012-04-07,-3.96197
2012-04-08,-9.28383
2012-04-09,-8.23353
2012-04-10,-5.92761
2012-04-11,-4.18803
2012-04-12,-3.0783
2012-04-13,-2.00953
2012-04-14,-7.23744
2012-04-15,-6.71625
2012-04-16,-10.9728
2012-04-17,-8.97515
2012-04-18,-9.60868
2012-04-19,-11.0012
2012-04-20,-5.79354
2012-04-21,-0.848204
2012-04-22,5.21813
2012-04-23,7.78847
