Date,UTXO Set Size
2009-09-21,22082
2009-09-22,22144
2009-09-23,22130
2009-09-24,22166
2009-09-25,22263
2009-09-26,22330
2009-09-27,22415
2009-09-28,22502
2009-09-29,22587
2009-09-30,22634
2009-10-01,22719
2009-10-02,22801
2009-10-03,22864
2009-10-04,22922
2009-10-05,22975
2009-10-06,23030
2009-10-07,23060
2009-10-08,23120
2009-10-09,23190
2009-10-10,23269
2009-10-11,23346
2009-10-12,23420
2009-10-13,23405
2009-10-14,23462
2009-10-15,23531
2009-10-16,23602
2009-10-17,23582
2009-10-18,23639
2009-10-19,23707
2009-10-20,23819
2009-10-21,23815
2009-10-22,23878
2009-10-23,23929
2009-10-24,24018
2009-10-25,24074
2009-10-26,24150
2009-10-27,24221
2009-10-28,24270
2009-10-29,24336
2009-10-30,24343
2009-10-31,24403
2009-11-01,24449
2009-11-02,24474
2009-11-03,24507
2009-11-04,24569
2009-11-05,24591
2009-11-06,24648
2009-11-07,24710
2009-11-08,24779
2009-11-09,24852
2009-11-10,24916
2009-11-11,24957
2009-11-12,25016
2009-11-13,25083
2009-11-14,25154
2009-11-15,25233
2009-11-16,25329
2009-11-17,25426
2009-11-18,25518
2009-11-19,25597
2009-11-20,25578
2009-11-21,25664
2009-11-22,25737
2009-11-23,25843
2009-11-24,25939
2009-11-25,26032
2009-11-26,26122
2009-11-27,26206
2009-11-28,26280
2009-11-29,26351
2009-11-30,26411
2009-12-01,26486
2009-12-02,26393
2009-12-03,26487
2009-12-04,26575
2009-12-05,26611
2009-12-06,26659
2009-12-07,26762
2009-12-08,26855
2009-12-09,26951
2009-12-10,27041
2009-12-11,27145
2009-12-12,27192
2009-12-13,27302
2009-12-14,27416
2009-12-15,27192
2009-12-16,27281
2009-12-17,27417
2009-12-18,27581
2009-12-19,27806
2009-12-20,28004
2009-12-21,28179
2009-12-22,28354
2009-12-23,28516
2009-12-24,28670
2009-12-25,28824
2009-12-26,28974
2009-12-27,29148
2009-12-28,29311
2009-12-29,29448
2009-12-30,29619
2009-12-31,29760
2010-01-01,29898
2010-01-02,30030
2010-01-03,30156
2010-01-04,30342
2010-01-05,30444
2010-01-06,30642
2010-01-07,30805
2010-01-08,30959
2010-01-09,31112
2010-01-10,31263
2010-01-11,31453
2010-01-12,31612
2010-01-13,31559
2010-01-14,31725
2010-01-15,31862
2010-01-16,31999
2010-01-17,32119
2010-01-18,32250
2010-01-19,32376
2010-01-20,32500
2010-01-21,32658
2010-01-22,32830
2010-01-23,32962
2010-01-24,33123
2010-01-25,33277
2010-01-26,33432
2010-01-27,33615
2010-01-28,33761
2010-01-29,33919
2010-01-30,34101
2010-01-31,34281
2010-02-01,34430
2010-02-02,34606
2010-02-03,34731
2010-02-04,34997
2010-02-05,35192
2010-02-06,35176
2010-02-07,35352
2010-02-08,35566
2010-02-09,35650
2010-02-10,35443
2010-02-11,35010
2010-02-12,35110
2010-02-13,35246
2010-02-14,35397
2010-02-15,35560
2010-02-16,35658
2010-02-17,35845
2010-02-18,36070
2010-02-19,36228
2010-02-20,36421
2010-02-21,36618
2010-02-22,36720
2010-02-23,36719
2010-02-24,36969
2010-02-25,37039
2010-02-26,37054
2010-02-27,37212
2010-02-28,37377
2010-03-01,37431
2010-03-02,37598
2010-03-03,37751
2010-03-04,37793
2010-03-05,37594
2010-03-06,37765
2010-03-07,37856
2010-03-08,37925
2010-03-09,37876
2010-03-10,37943
2010-03-11,38073
2010-03-12,38145
2010-03-13,38261
2010-03-14,38379
2010-03-15,38496
2010-03-16,38634
2010-03-17,38738
2010-03-18,38852
2010-03-19,38865
2010-03-20,38959
2010-03-21,39096
2010-03-22,39277
2010-03-23,39423
2010-03-24,39567
2010-03-25,39717
2010-03-26,39577
2010-03-27,39715
2010-03-28,39867
2010-03-29,40049
2010-03-30,40188
2010-03-31,40398
2010-04-01,40587
2010-04-02,40739
2010-04-03,40880
2010-04-04,41023
2010-04-05,41139
2010-04-06,41189
2010-04-07,41267
2010-04-08,41368
2010-04-09,41508
2010-04-10,41595
2010-04-11,41621
2010-04-12,41721
2010-04-13,41812
2010-04-14,41981
2010-04-15,42137
2010-04-16,41740
2010-04-17,41760
2010-04-18,41929
2010-04-19,45001
2010-04-20,44981
2010-04-21,45009
2010-04-22,45115
2010-04-23,45256
2010-04-24,45416
2010-04-25,45468
2010-04-26,45495
2010-04-27,45616
2010-04-28,45780
2010-04-29,45880
2010-04-30,46008
2010-05-01,46140
2010-05-02,46280
2010-05-03,46394
2010-05-04,46434
2010-05-05,46467
2010-05-06,46459
2010-05-07,46349
2010-05-08,46399
2010-05-09,46325
2010-05-10,46399
2010-05-11,46412
2010-05-12,46503
2010-05-13,46528
2010-05-14,46581
2010-05-15,45801
2010-05-16,44891
2010-05-17,44977
2010-05-18,45022
2010-05-19,45114
2010-05-20,45198
2010-05-21,45347
2010-05-22,45418
2010-05-23,45378
2010-05-24,45505
2010-05-25,45642
2010-05-26,45778
2010-05-27,45895
2010-05-28,45984
2010-05-29,46167
2010-05-30,46251
2010-05-31,46368
2010-06-01,46443
2010-06-02,46545
2010-06-03,46668
2010-06-04,46687
2010-06-05,46800
2010-06-06,46902
2010-06-07,46995
2010-06-08,46909
2010-06-09,46992
2010-06-10,47077
2010-06-11,47215
2010-06-12,47333
2010-06-13,47436
2010-06-14,47542
2010-06-15,47594
2010-06-16,47749
2010-06-17,47783
2010-06-18,47908
2010-06-19,47991
2010-06-20,47977
2010-06-21,48120
2010-06-22,48247
2010-06-23,48329
2010-06-24,48460
2010-06-25,48563
2010-06-26,48706
2010-06-27,48846
2010-06-28,48984
2010-06-29,49112
2010-06-30,49163
2010-07-01,48435
2010-07-02,48537
2010-07-03,48304
2010-07-04,48464
2010-07-05,48392
2010-07-06,48467
2010-07-07,48586
2010-07-08,48618
2010-07-09,48737
2010-07-10,48904
2010-07-11,48970
2010-07-12,49221
2010-07-13,50940
2010-07-14,51961
2010-07-15,57264
2010-07-16,56881
2010-07-17,57521
2010-07-18,57503
2010-07-19,57530
2010-07-20,57701
2010-07-21,57860
2010-07-22,58000
2010-07-23,58226
2010-07-24,58450
2010-07-25,58569
2010-07-26,58640
2010-07-27,57992
2010-07-28,58094
2010-07-29,57732
2010-07-30,57950
2010-07-31,57943
2010-08-01,57995
2010-08-02,58140
2010-08-03,58294
2010-08-04,58570
2010-08-05,58798
2010-08-06,58706
2010-08-07,58702
2010-08-08,58735
2010-08-09,58929
2010-08-10,58085
2010-08-11,58200
2010-08-12,58298
2010-08-13,58578
2010-08-14,58581
2010-08-15,58640
2010-08-16,58760
2010-08-17,58730
2010-08-18,58847
2010-08-19,58075
2010-08-20,58218
2010-08-21,58369
2010-08-22,58518
2010-08-23,58628
2010-08-24,58736
2010-08-25,58450
2010-08-26,58646
2010-08-27,58675
2010-08-28,58777
2010-08-29,58857
2010-08-30,59001
2010-08-31,59042
2010-09-01,58857
2010-09-02,58834
2010-09-03,58888
2010-09-04,59046
2010-09-05,59159
2010-09-06,59250
2010-09-07,59317
2010-09-08,59422
2010-09-09,59568
2010-09-10,59666
2010-09-11,59819
2010-09-12,59971
2010-09-13,59963
2010-09-14,60047
2010-09-15,60180
2010-09-16,60306
2010-09-17,60431
2010-09-18,60080
2010-09-19,60231
2010-09-20,60287
2010-09-21,60396
2010-09-22,60449
2010-09-23,60581
2010-09-24,60674
2010-09-25,60832
2010-09-26,60924
2010-09-27,61054
2010-09-28,60840
2010-09-29,59987
2010-09-30,60062
2010-10-01,60159
2010-10-02,60476
