Date,Velocity - Daily
2010-07-31,0.00546312
2010-08-01,0.00432298
2010-08-02,0.0753992
2010-08-03,0.0176642
2010-08-04,0.0117423
2010-08-05,0.00877209
2010-08-06,0.0112734
2010-08-07,0.005568
2010-08-08,0.0064855
2010-08-09,0.00279435
2010-08-10,0.0210975
2010-08-11,0.00921658
2010-08-12,0.0150859
2010-08-13,0.00535326
2010-08-14,0.00811659
2010-08-15,0.00439339
2010-08-16,0.0057203
2010-08-17,0.0179171
2010-08-18,0.012878
2010-08-19,0.00983401
2010-08-20,0.00539467
2010-08-21,0.00787832
2010-08-22,0.0103134
2010-08-23,0.00528415
2010-08-24,0.0047318
2010-08-25,0.00555521
2010-08-26,0.00413551
2010-08-27,0.0037094
2010-08-28,0.00745529
2010-08-29,0.0043076
2010-08-30,0.00238045
2010-08-31,0.00346069
2010-09-01,0.0104573
2010-09-02,0.00744327
2010-09-03,0.00879847
2010-09-04,0.00766131
2010-09-05,0.00865388
2010-09-06,0.0340739
2010-09-07,0.0192952
2010-09-08,0.00470591
2010-09-09,0.00443951
2010-09-10,0.00868852
2010-09-11,0.00357349
2010-09-12,0.00254209
2010-09-13,0.00464968
2010-09-14,0.0294817
2010-09-15,0.00763611
2010-09-16,0.0099881
2010-09-17,0.00854753
2010-09-18,0.0187687
2010-09-19,0.0108317
2010-09-20,0.0127455
2010-09-21,0.0102102
2010-09-22,0.00687592
2010-09-23,0.0109523
2010-09-24,0.031182
2010-09-25,0.00454625
2010-09-26,0.00727634
2010-09-27,0.00544798
2010-09-28,0.00840581
2010-09-29,0.0194458
2010-09-30,0.0228125
2010-10-01,0.0167378
2010-10-02,0.00716996
2010-10-03,0.0935051
2010-10-04,0.0120934
2010-10-05,0.133928
2010-10-06,0.0456344
2010-10-07,0.0288512
2010-10-08,0.0303706
2010-10-09,0.0364156
2010-10-10,0.044044
2010-10-11,0.0285569
2010-10-12,0.017143
2010-10-13,0.0137489
2010-10-14,0.0275289
2010-10-15,0.0410764
2010-10-16,0.0343331
2010-10-17,0.0465767
2010-10-18,0.0249933
2010-10-19,0.0505052
2010-10-20,0.0617477
2010-10-21,0.0471429
2010-10-22,0.043136
2010-10-23,0.028728
2010-10-24,0.00962488
2010-10-25,0.0237743
2010-10-26,0.0344276
2010-10-27,0.0412506
2010-10-28,0.0460136
2010-10-29,0.0425428
2010-10-30,0.0196285
2010-10-31,0.0127574
2010-11-01,0.0150525
2010-11-02,0.00950975
2010-11-03,0.0135193
2010-11-04,0.0127415
2010-11-05,0.0354988
2010-11-06,0.0094017
2010-11-07,0.027847
2010-11-08,0.0195924
2010-11-09,0.110377
2010-11-10,0.0114882
2010-11-11,0.0126778
2010-11-12,0.00919823
2010-11-13,0.00737036
2010-11-14,0.00830479
2010-11-15,0.00813023
2010-11-16,0.0573114
2010-11-17,0.0811652
2010-11-18,0.0132571
2010-11-19,0.0137225
2010-11-20,0.0114838
2010-11-21,0.0337179
2010-11-22,0.027091
2010-11-23,0.00779822
2010-11-24,0.00804461
2010-11-25,0.00806352
2010-11-26,0.0110642
2010-11-27,0.0187884
2010-11-28,0.00498872
2010-11-29,0.00515554
2010-11-30,0.00742805
2010-12-01,0.0137481
2010-12-02,0.0117326
2010-12-03,0.0123107
2010-12-04,0.00592402
2010-12-05,0.0137132
2010-12-06,0.00403231
2010-12-07,0.0194794
2010-12-08,0.0179663
2010-12-09,0.00615589
2010-12-10,0.0103601
2010-12-11,0.00795373
2010-12-12,0.0124117
2010-12-13,0.0100828
2010-12-14,0.0392405
2010-12-15,0.0214956
2010-12-16,0.0228764
2010-12-17,0.0172399
2010-12-18,0.0126754
2010-12-19,0.0175394
2010-12-20,0.0197244
2010-12-21,0.0173304
2010-12-22,0.0203564
2010-12-23,0.0172697
2010-12-24,0.0119999
2010-12-25,0.0129904
2010-12-26,0.0217631
2010-12-27,0.0138696
2010-12-28,0.0183529
2010-12-29,0.011884
2010-12-30,0.0217936
2010-12-31,0.0128182
2011-01-01,0.0114381
2011-01-02,0.0109621
2011-01-03,0.00971744
2011-01-04,0.0133016
2011-01-05,0.00785113
2011-01-06,0.010027
2011-01-07,0.00631693
2011-01-08,0.0109404
2011-01-09,0.011333
2011-01-10,0.00802572
2011-01-11,0.0156835
2011-01-12,0.0207123
2011-01-13,0.011567
2011-01-14,0.0241421
2011-01-15,0.0157052
2011-01-16,0.011146
2011-01-17,0.0125618
2011-01-18,0.0116904
