Date,Avg. UTXO Amount
2011-04-13,41.2954
2011-04-14,41.1677
2011-04-15,40.6891
2011-04-16,40.8363
2011-04-17,41.1508
2011-04-18,40.9303
2011-04-19,40.6141
2011-04-20,40.2479
2011-04-21,40.3911
2011-04-22,40.1558
2011-04-23,39.9409
2011-04-24,39.8734
2011-04-25,39.7454
2011-04-26,39.7445
2011-04-27,39.3924
2011-04-28,39.3585
2011-04-29,39.2675
2011-04-30,38.9151
2011-05-01,38.8315
2011-05-02,38.811
2011-05-03,38.4881
2011-05-04,38.2043
2011-05-05,38.0443
2011-05-06,37.8527
2011-05-07,37.5626
2011-05-08,37.0861
2011-05-09,36.846
2011-05-10,36.563
2011-05-11,36.4862
2011-05-12,36.3591
2011-05-13,36.1707
2011-05-14,36.2095
2011-05-15,35.837
2011-05-16,35.5169
2011-05-17,34.7048
2011-05-18,34.1271
2011-05-19,33.5789
2011-05-20,32.8197
2011-05-21,32.4518
2011-05-22,32.0551
2011-05-23,31.492
2011-05-24,30.9967
2011-05-25,30.3908
2011-05-26,29.7692
2011-05-27,29.4556
2011-05-28,29.1365
2011-05-29,28.6905
2011-05-30,28.1832
2011-05-31,27.7053
2011-06-01,27.3985
2011-06-02,27.0274
2011-06-03,26.8363
2011-06-04,26.8425
2011-06-05,26.4622
2011-06-06,25.9694
2011-06-07,25.6626
2011-06-08,25.4181
2011-06-09,25.5453
2011-06-10,24.9274
2011-06-11,24.4437
2011-06-12,23.8009
2011-06-13,23.3361
2011-06-14,22.9305
2011-06-15,22.0955
2011-06-16,21.632
2011-06-17,21.3132
2011-06-18,20.927
2011-06-19,20.2967
2011-06-20,19.8556
2011-06-21,19.2616
2011-06-22,18.7383
2011-06-23,18.1032
2011-06-24,17.6222
2011-06-25,17.2522
2011-06-26,17.0337
2011-06-27,16.8846
2011-06-28,16.5706
2011-06-29,16.3522
2011-06-30,16.1258
2011-07-01,15.892
2011-07-02,15.4138
2011-07-03,14.7718
2011-07-04,14.4963
2011-07-05,14.2578
2011-07-06,14.123
2011-07-07,13.9796
2011-07-08,13.8261
2011-07-09,13.5551
2011-07-10,13.3315
2011-07-11,12.9961
2011-07-12,12.7969
2011-07-13,12.5915
2011-07-14,12.3377
2011-07-15,12.0477
2011-07-16,11.8286
2011-07-17,11.6476
2011-07-18,11.4697
2011-07-19,11.4111
2011-07-20,11.2905
2011-07-21,11.1435
2011-07-22,10.9821
2011-07-23,10.8554
2011-07-24,10.7314
2011-07-25,10.5954
2011-07-26,10.4745
2011-07-27,10.381
2011-07-28,10.2506
2011-07-29,10.1199
2011-07-30,9.981
2011-07-31,9.8613
