"profit_dfs_nr","profit","arima_size","forecast_days","window_week_start_day","first_forecast_date","last_forecast_date","twitter_sent_regs","btc_tec_regs","btc_tec_regs_lag1_only","twitter_and_btc_regs_and_lag1"
187,1324.39999999999,70,20,4,"2018-04-13","2018-05-02",FALSE,FALSE,FALSE,FALSE
188,31.3999999999905,70,20,4,"2018-04-13","2018-05-02",TRUE,FALSE,FALSE,FALSE
189,522.193513839969,70,20,4,"2018-04-13","2018-05-02",FALSE,TRUE,FALSE,FALSE
190,31.3999999999905,70,20,4,"2018-04-13","2018-05-02",TRUE,TRUE,FALSE,FALSE
191,628.406486159929,70,20,4,"2018-04-13","2018-05-02",FALSE,FALSE,TRUE,FALSE
192,31.3999999999905,70,20,4,"2018-04-13","2018-05-02",FALSE,FALSE,FALSE,TRUE
193,1872.10000000001,70,20,5,"2018-04-14","2018-05-03",FALSE,FALSE,FALSE,FALSE
194,-516.300000000029,70,20,5,"2018-04-14","2018-05-03",TRUE,FALSE,FALSE,FALSE
195,3427.29999999999,70,20,5,"2018-04-14","2018-05-03",FALSE,TRUE,FALSE,FALSE
196,-516.300000000029,70,20,5,"2018-04-14","2018-05-03",TRUE,TRUE,FALSE,FALSE
197,1259.69999999997,70,20,5,"2018-04-14","2018-05-03",FALSE,FALSE,TRUE,FALSE
198,-624.900000000028,70,20,5,"2018-04-14","2018-05-03",FALSE,FALSE,FALSE,TRUE
199,1697.09675692001,70,20,6,"2018-04-15","2018-05-04",FALSE,FALSE,FALSE,FALSE
200,721.90324307995,70,20,6,"2018-04-15","2018-05-04",TRUE,FALSE,FALSE,FALSE
201,1493.09675692001,70,20,6,"2018-04-15","2018-05-04",FALSE,TRUE,FALSE,FALSE
202,721.90324307995,70,20,6,"2018-04-15","2018-05-04",TRUE,TRUE,FALSE,FALSE
203,102.296756919993,70,20,6,"2018-04-15","2018-05-04",FALSE,FALSE,TRUE,FALSE
204,721.90324307995,70,20,6,"2018-04-15","2018-05-04",FALSE,FALSE,FALSE,TRUE
205,1503.7,70,20,7,"2018-04-16","2018-05-05",FALSE,FALSE,FALSE,FALSE
206,915.299999999959,70,20,7,"2018-04-16","2018-05-05",TRUE,FALSE,FALSE,FALSE
207,1503.7,70,20,7,"2018-04-16","2018-05-05",FALSE,TRUE,FALSE,FALSE
208,915.299999999959,70,20,7,"2018-04-16","2018-05-05",TRUE,TRUE,FALSE,FALSE
209,1210.70000000002,70,20,7,"2018-04-16","2018-05-05",FALSE,FALSE,TRUE,FALSE
210,915.299999999959,70,20,7,"2018-04-16","2018-05-05",FALSE,FALSE,FALSE,TRUE
211,1045.2,80,20,1,"2018-04-20","2018-05-09",FALSE,FALSE,FALSE,FALSE
212,-699.200000000019,80,20,1,"2018-04-20","2018-05-09",TRUE,FALSE,FALSE,FALSE
213,1045.2,80,20,1,"2018-04-20","2018-05-09",FALSE,TRUE,FALSE,FALSE
214,-699.200000000019,80,20,1,"2018-04-20","2018-05-09",TRUE,TRUE,FALSE,FALSE
215,-747.200000000001,80,20,1,"2018-04-20","2018-05-09",FALSE,FALSE,TRUE,FALSE
216,-699.200000000019,80,20,1,"2018-04-20","2018-05-09",FALSE,FALSE,FALSE,TRUE
217,152.600000000009,80,20,2,"2018-04-21","2018-05-10",FALSE,FALSE,FALSE,FALSE
218,-608.000000000007,80,20,2,"2018-04-21","2018-05-10",TRUE,FALSE,FALSE,FALSE
219,1707.79999999999,80,20,2,"2018-04-21","2018-05-10",FALSE,TRUE,FALSE,FALSE
220,-608.000000000007,80,20,2,"2018-04-21","2018-05-10",TRUE,TRUE,FALSE,FALSE
221,994.999999999971,80,20,2,"2018-04-21","2018-05-10",FALSE,FALSE,TRUE,FALSE
222,-1530.20000000001,80,20,2,"2018-04-21","2018-05-10",FALSE,FALSE,FALSE,TRUE
223,-500.100000000009,80,20,3,"2018-04-22","2018-05-11",FALSE,FALSE,FALSE,FALSE
224,44.7000000000116,80,20,3,"2018-04-22","2018-05-11",TRUE,FALSE,FALSE,FALSE
225,-500.100000000009,80,20,3,"2018-04-22","2018-05-11",FALSE,TRUE,FALSE,FALSE
226,44.7000000000116,80,20,3,"2018-04-22","2018-05-11",TRUE,TRUE,FALSE,FALSE
227,1539.29999999999,80,20,3,"2018-04-22","2018-05-11",FALSE,FALSE,TRUE,FALSE
228,-532.69999999999,80,20,3,"2018-04-22","2018-05-11",FALSE,FALSE,FALSE,TRUE
229,-320.6,80,20,4,"2018-04-23","2018-05-12",FALSE,FALSE,FALSE,FALSE
230,300.800000000001,80,20,4,"2018-04-23","2018-05-12",TRUE,FALSE,FALSE,FALSE
231,-320.6,80,20,4,"2018-04-23","2018-05-12",FALSE,TRUE,FALSE,FALSE
232,300.800000000001,80,20,4,"2018-04-23","2018-05-12",TRUE,TRUE,FALSE,FALSE
233,2036.6,80,20,4,"2018-04-23","2018-05-12",FALSE,FALSE,TRUE,FALSE
234,-276.6,80,20,4,"2018-04-23","2018-05-12",FALSE,FALSE,FALSE,TRUE
235,-256.4,80,20,5,"2018-04-24","2018-05-13",FALSE,FALSE,FALSE,FALSE
236,662.200000000021,80,20,5,"2018-04-24","2018-05-13",TRUE,FALSE,FALSE,FALSE
237,1298.79999999998,80,20,5,"2018-04-24","2018-05-13",FALSE,TRUE,FALSE,FALSE
238,662.200000000021,80,20,5,"2018-04-24","2018-05-13",TRUE,TRUE,FALSE,FALSE
239,1567.59999999998,80,20,5,"2018-04-24","2018-05-13",FALSE,FALSE,TRUE,FALSE
240,-23.7999999999793,80,20,5,"2018-04-24","2018-05-13",FALSE,FALSE,FALSE,TRUE
241,-976,80,20,6,"2018-04-25","2018-05-14",FALSE,FALSE,FALSE,FALSE
242,2216.2,80,20,6,"2018-04-25","2018-05-14",TRUE,FALSE,FALSE,FALSE
243,-976,80,20,6,"2018-04-25","2018-05-14",FALSE,TRUE,FALSE,FALSE
244,2216.2,80,20,6,"2018-04-25","2018-05-14",TRUE,TRUE,FALSE,FALSE
245,122.800000000003,80,20,6,"2018-04-25","2018-05-14",FALSE,FALSE,TRUE,FALSE
246,2216.2,80,20,6,"2018-04-25","2018-05-14",FALSE,FALSE,FALSE,TRUE
247,-401.700000000001,80,20,7,"2018-04-26","2018-05-15",FALSE,FALSE,FALSE,FALSE
248,1641.9,80,20,7,"2018-04-26","2018-05-15",TRUE,FALSE,FALSE,FALSE
249,-376.09999999998,80,20,7,"2018-04-26","2018-05-15",FALSE,TRUE,FALSE,FALSE
250,1641.9,80,20,7,"2018-04-26","2018-05-15",TRUE,TRUE,FALSE,FALSE
251,608.50000000004,80,20,7,"2018-04-26","2018-05-15",FALSE,FALSE,TRUE,FALSE
252,1641.9,80,20,7,"2018-04-26","2018-05-15",FALSE,FALSE,FALSE,TRUE
253,-1169,90,20,1,"2018-04-30","2018-05-19",FALSE,FALSE,FALSE,FALSE
254,1642.40000000002,90,20,1,"2018-04-30","2018-05-19",TRUE,FALSE,FALSE,FALSE
255,-1538.19999999998,90,20,1,"2018-04-30","2018-05-19",FALSE,TRUE,FALSE,FALSE
256,1642.40000000002,90,20,1,"2018-04-30","2018-05-19",TRUE,TRUE,FALSE,FALSE
257,-1717.99999999998,90,20,1,"2018-04-30","2018-05-19",FALSE,FALSE,TRUE,FALSE
258,1642.40000000002,90,20,1,"2018-04-30","2018-05-19",FALSE,FALSE,FALSE,TRUE
259,-716.9,90,20,2,"2018-05-01","2018-05-20",FALSE,FALSE,FALSE,FALSE
260,2094.50000000002,90,20,2,"2018-05-01","2018-05-20",TRUE,FALSE,FALSE,FALSE
261,-716.9,90,20,2,"2018-05-01","2018-05-20",FALSE,TRUE,FALSE,FALSE
262,2094.50000000002,90,20,2,"2018-05-01","2018-05-20",TRUE,TRUE,FALSE,FALSE
263,-955.299999999983,90,20,2,"2018-05-01","2018-05-20",FALSE,FALSE,TRUE,FALSE
264,1172.30000000002,90,20,2,"2018-05-01","2018-05-20",FALSE,FALSE,FALSE,TRUE
265,-668.6,90,20,3,"2018-05-02","2018-05-21",FALSE,FALSE,FALSE,FALSE
266,2046.20000000002,90,20,3,"2018-05-02","2018-05-21",TRUE,FALSE,FALSE,FALSE
267,-668.6,90,20,3,"2018-05-02","2018-05-21",FALSE,TRUE,FALSE,FALSE
268,2046.20000000002,90,20,3,"2018-05-02","2018-05-21",TRUE,TRUE,FALSE,FALSE
269,-906.999999999984,90,20,3,"2018-05-02","2018-05-21",FALSE,FALSE,TRUE,FALSE
270,1468.80000000002,90,20,3,"2018-05-02","2018-05-21",FALSE,FALSE,FALSE,TRUE
