profit_dfs_nr,profit,arima_size,forecast_days,window_week_start_day,first_forecast_date,last_forecast_date,twitter_sent_regs,btc_tec_regs,,7745.260638
150,419.811168,80,20,3,9/2/2018,9/21/2018,TRUE,FALSE,,
151,-907.2850368,80,20,3,9/2/2018,9/21/2018,FALSE,TRUE,,
152,625.011168,80,20,3,9/2/2018,9/21/2018,TRUE,TRUE,,
153,-577,80,20,4,9/3/2018,9/22/2018,FALSE,FALSE,,
154,561.511168,80,20,4,9/3/2018,9/22/2018,TRUE,FALSE,,
155,-1048.985037,80,20,4,9/3/2018,9/22/2018,FALSE,TRUE,,
156,561.511168,80,20,4,9/3/2018,9/22/2018,TRUE,TRUE,,
157,-557.8,80,20,5,9/4/2018,9/23/2018,FALSE,FALSE,,
158,580.711168,80,20,5,9/4/2018,9/23/2018,TRUE,FALSE,,
159,-1094.185037,80,20,5,9/4/2018,9/23/2018,FALSE,TRUE,,
160,580.711168,80,20,5,9/4/2018,9/23/2018,TRUE,TRUE,,
161,-773.8,80,20,6,9/5/2018,9/24/2018,FALSE,FALSE,,
162,364.711168,80,20,6,9/5/2018,9/24/2018,TRUE,FALSE,,
163,-1310.185037,80,20,6,9/5/2018,9/24/2018,FALSE,TRUE,,
164,364.711168,80,20,6,9/5/2018,9/24/2018,TRUE,TRUE,,
165,-261.2,80,20,7,9/6/2018,9/25/2018,FALSE,FALSE,,
166,-432.488832,80,20,7,9/6/2018,9/25/2018,TRUE,FALSE,,
167,-797.5850368,80,20,7,9/6/2018,9/25/2018,FALSE,TRUE,,
168,-432.488832,80,20,7,9/6/2018,9/25/2018,TRUE,TRUE,,
169,357.4,90,20,1,9/10/2018,9/29/2018,FALSE,FALSE,,
170,-433.2149632,90,20,1,9/10/2018,9/29/2018,TRUE,FALSE,,
171,357.4,90,20,1,9/10/2018,9/29/2018,FALSE,TRUE,,
172,-433.2149632,90,20,1,9/10/2018,9/29/2018,TRUE,TRUE,,
173,307.5,90,20,2,9/11/2018,9/30/2018,FALSE,FALSE,,
174,-483.1149632,90,20,2,9/11/2018,9/30/2018,TRUE,FALSE,,
175,307.5,90,20,2,9/11/2018,9/30/2018,FALSE,TRUE,,
176,-483.1149632,90,20,2,9/11/2018,9/30/2018,TRUE,TRUE,,
177,311,90,20,3,9/12/2018,10/1/2018,FALSE,FALSE,,
178,-527.6149632,90,20,3,9/12/2018,10/1/2018,TRUE,FALSE,,
179,311,90,20,3,9/12/2018,10/1/2018,FALSE,TRUE,,
180,-527.6149632,90,20,3,9/12/2018,10/1/2018,TRUE,TRUE,,
181,195.0832782,90,20,4,9/13/2018,10/2/2018,FALSE,FALSE,,
182,-560.4982414,90,20,4,9/13/2018,10/2/2018,TRUE,FALSE,,
183,195.0832782,90,20,4,9/13/2018,10/2/2018,FALSE,TRUE,,
184,-560.4982414,90,20,4,9/13/2018,10/2/2018,TRUE,TRUE,,
185,14.2,90,20,5,9/14/2018,10/3/2018,FALSE,FALSE,,
186,-428.2149632,90,20,5,9/14/2018,10/3/2018,TRUE,FALSE,,
187,14.2,90,20,5,9/14/2018,10/3/2018,FALSE,TRUE,,
188,-428.2149632,90,20,5,9/14/2018,10/3/2018,TRUE,TRUE,,
189,110.3,90,20,6,9/15/2018,10/4/2018,FALSE,FALSE,,
190,-524.3149632,90,20,6,9/15/2018,10/4/2018,TRUE,FALSE,,
191,110.3,90,20,6,9/15/2018,10/4/2018,FALSE,TRUE,,
192,-524.3149632,90,20,6,9/15/2018,10/4/2018,TRUE,TRUE,,
193,127.1,90,20,7,9/16/2018,10/5/2018,FALSE,FALSE,,
194,-541.1149632,90,20,7,9/16/2018,10/5/2018,TRUE,FALSE,,
195,127.1,90,20,7,9/16/2018,10/5/2018,FALSE,TRUE,,
196,-541.1149632,90,20,7,9/16/2018,10/5/2018,TRUE,TRUE,,
197,272.1,100,20,1,9/20/2018,10/9/2018,FALSE,FALSE,,
198,-142.7,100,20,1,9/20/2018,10/9/2018,TRUE,FALSE,,
199,319.5,100,20,1,9/20/2018,10/9/2018,FALSE,TRUE,,
200,-142.7,100,20,1,9/20/2018,10/9/2018,TRUE,TRUE,,
201,136.1669759,100,20,2,9/21/2018,10/10/2018,FALSE,FALSE,,
202,-212.7819391,100,20,2,9/21/2018,10/10/2018,TRUE,FALSE,,
203,183.5669759,100,20,2,9/21/2018,10/10/2018,FALSE,TRUE,,
204,-212.7819391,100,20,2,9/21/2018,10/10/2018,TRUE,TRUE,,
205,-510.2,100,20,3,9/22/2018,10/11/2018,FALSE,FALSE,,
206,-102.8,100,20,3,9/22/2018,10/11/2018,TRUE,FALSE,,
207,-462.8,100,20,3,9/22/2018,10/11/2018,FALSE,TRUE,,
208,-102.8,100,20,3,9/22/2018,10/11/2018,TRUE,TRUE,,
209,-431.1,100,20,4,9/23/2018,10/12/2018,FALSE,FALSE,,
210,-101.9,100,20,4,9/23/2018,10/12/2018,TRUE,FALSE,,
211,-383.7,100,20,4,9/23/2018,10/12/2018,FALSE,TRUE,,
212,-101.9,100,20,4,9/23/2018,10/12/2018,TRUE,TRUE,,
213,-383.5,100,20,5,9/24/2018,10/13/2018,FALSE,FALSE,,
214,-54.3,100,20,5,9/24/2018,10/13/2018,TRUE,FALSE,,
215,-336.1,100,20,5,9/24/2018,10/13/2018,FALSE,TRUE,,
216,-54.3,100,20,5,9/24/2018,10/13/2018,TRUE,TRUE,,
217,-248.7,100,20,6,9/25/2018,10/14/2018,FALSE,FALSE,,
218,80.5,100,20,6,9/25/2018,10/14/2018,TRUE,FALSE,,
219,-201.3,100,20,6,9/25/2018,10/14/2018,FALSE,TRUE,,
220,80.5,100,20,6,9/25/2018,10/14/2018,TRUE,TRUE,,
221,299.2,100,20,7,9/26/2018,10/15/2018,FALSE,FALSE,,
222,628.4,100,20,7,9/26/2018,10/15/2018,TRUE,FALSE,,
223,346.6,100,20,7,9/26/2018,10/15/2018,FALSE,TRUE,,
224,628.4,100,20,7,9/26/2018,10/15/2018,TRUE,TRUE,,
